
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
34,Ray Allen,SG,6-5,205,July 20 1975,16,University of Connecticut
11,Chris Andersen,C,6-10,245,July 7 1978,10,Blinn College
50,Joel Anthony,C,6-9,245,August 9 1982,5,University of Nevada Las Vegas
31,Shane Battier,SF,6-8,220,September 9 1978,11,Duke University
1,Chris Bosh,C,6-11,235,March 24 1984,9,Georgia Institute of Technology
15,Mario Chalmers,PG,6-2,190,May 19 1986,4,University of Kansas
30,Norris Cole,PG,6-2,175,October 13 1988,1,Cleveland State University
55,Josh Harrellson,C,6-10,275,February 12 1989,1,University of Kentucky
14,Terrel Harris,SG,6-5,190,August 10 1987,1,Oklahoma State University
40,Udonis Haslem,PF,6-8,235,June 9 1980,9,University of Florida
5,Juwan Howard,PF,6-9,240,February 7 1973,18,University of Michigan
6,LeBron James,PF,6-8,250,December 30 1984,9,
22,James Jones,SF,6-8,218,October 4 1980,9,University of Miami
9,Rashard Lewis,PF,6-10,215,August 8 1979,14,
13,Mike Miller,SF,6-8,218,February 19 1980,12,University of Florida
45,Dexter Pittman,C,6-11,308,March 2 1988,2,University of Texas at Austin
24,Jarvis Varnado,PF,6-9,230,March 1 1988,R,Mississippi State University
3,Dwyane Wade,SG,6-4,220,January 17 1982,9,Marquette University
