
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
5,Lavoy Allen,PF,6-9,255,February 4 1989,2,Temple University
8,Rasual Butler,SG,6-7,215,May 23 1979,10,La Salle University
17,Andrew Bynum,C,7-0,285,October 27 1987,7,
22,Chris Copeland,SF,6-9,239,March 17 1984,1,University of Colorado
24,Paul George,SF,6-9,220,May 2 1990,3,California State University Fresno
33,Danny Granger,SF,6-9,222,April 20 1983,8,University of New Mexico
55,Roy Hibbert,C,7-2,270,December 11 1986,5,Georgetown University
3,George Hill,PG,6-3,188,May 4 1986,5,Indiana University-Purdue University Indianapolis
9,Solomon Hill,SF,6-7,225,March 18 1991,R,University of Arizona
11,Orlando Johnson,SG,6-5,220,March 11 1989,1,University of California Santa Barbara
28,Ian Mahinmi,C,6-11,250,November 5 1986,5,
4,Luis Scola,PF,6-9,240,April 30 1980,6,
15,Donald Sloan,SG,6-3,205,January 15 1988,2,Texas A&amp;M University
1,Lance Stephenson,SG,6-5,230,September 5 1990,3,University of Cincinnati
12,Evan Turner,SF,6-7,220,October 27 1988,3,Ohio State University
32,C.J. Watson,PG,6-2,175,April 17 1984,6,University of Tennessee
21,David West,PF,6-9,250,August 29 1980,10,Xavier University
