
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Steven Adams,C,7-0,255,July 20 1993,R,University of Pittsburgh
2,Caron Butler,SF,6-7,228,March 13 1980,11,University of Connecticut
4,Nick Collison,PF,6-10,255,October 26 1980,9,University of Kansas
35,Kevin Durant,SF,6-9,240,September 29 1988,6,University of Texas at Austin
6,Derek Fisher,SG,6-1,200,August 9 1974,17,University of Arkansas at Little Rock
8,Ryan Gomes,SF,6-7,250,September 1 1982,7,Providence College
9,Serge Ibaka,PF,6-10,245,September 18 1989,4,
7,Royal Ivey,SG,6-3,200,December 20 1981,9,University of Texas at Austin
15,Reggie Jackson,PG,6-3,208,April 16 1990,2,Boston College
3,Perry Jones,PF,6-11,235,September 24 1991,1,Baylor University
11,Jeremy Lamb,SG,6-5,185,May 30 1992,1,University of Connecticut
5,Kendrick Perkins,C,6-10,270,November 10 1984,10,
21,Andre Roberson,PF,6-7,210,December 4 1991,R,University of Colorado
25,Thabo Sefolosha,SG,6-7,220,May 2 1984,7,
22,Mustafa Shakur,PG,6-3,190,August 18 1984,1,University of Arizona
34,Hasheem Thabeet,C,7-3,263,February 16 1987,4,University of Connecticut
0,Russell Westbrook,PG,6-3,200,November 12 1988,5,University of California Los Angeles
14,Reggie Williams,SF,6-6,205,September 14 1986,4,Virginia Military Institute
