
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
00,Darrell Arthur,SF,6-9,235,March 25 1988,4,University of Kansas
0,Aaron Brooks,PG,6-0,161,January 14 1985,5,University of Oregon
21,Wilson Chandler,SF,6-8,225,May 10 1987,6,DePaul University
35,Kenneth Faried,PF,6-8,228,November 19 1989,2,Morehead State University
94,Evan Fournier,SG,6-7,205,October 29 1992,1,
4,Randy Foye,SG,6-4,213,September 24 1983,7,Villanova University
1,Jordan Hamilton,SF,6-7,220,October 6 1990,2,University of Texas at Austin
7,J.J. Hickson,PF,6-9,242,September 4 1988,5,North Carolina State University
3,Ty Lawson,PG,5-11,195,November 3 1987,4,University of North Carolina
34,JaVale McGee,C,7-0,270,January 19 1988,5,University of Nevada Reno
24,Andre Miller,SG,6-3,200,March 19 1976,14,University of Utah
30,Quincy Miller,PF,6-9,210,November 18 1992,1,Baylor University
25,Timofey Mozgov,C,7-1,275,July 16 1986,3,
15,Anthony Randolph,PF,6-10,205,July 15 1989,5,Louisiana State University
10,Nate Robinson,PG,5-9,180,May 31 1984,8,University of Washington
24,Jan Vesely,PF,6-11,240,April 24 1990,2,
