
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,DeMar DeRozan,24,79,79,3017,604,1407,.429,64,210,.305,540,1197,.451,.452,519,630,.824,51,292,343,313,86,28,176,197,1791
2,Kyle Lowry,27,79,79,2862,457,1080,.423,190,500,.380,267,580,.460,.511,313,385,.813,88,281,369,586,121,15,194,267,1417
3,Jonas Valanciunas,21,81,81,2282,359,676,.531,0,1,.000,359,675,.532,.531,198,260,.762,226,488,714,57,24,71,136,249,916
4,Amir Johnson,26,77,72,2214,344,612,.562,20,66,.303,324,546,.593,.578,91,143,.636,172,333,505,115,56,88,123,271,799
5,Terrence Ross,22,81,62,2159,318,751,.423,161,408,.395,157,343,.458,.531,82,98,.837,43,209,252,79,64,27,88,183,879
6,Greivis Vasquez,27,61,5,1314,212,508,.417,93,239,.389,119,269,.442,.509,65,76,.855,15,124,139,228,25,4,101,105,582
7,John Salmons,34,60,0,1281,109,296,.368,47,121,.388,62,175,.354,.448,33,45,.733,12,105,117,103,35,11,40,92,298
8,Patrick Patterson,24,48,7,1118,175,367,.477,46,112,.411,129,255,.506,.540,41,55,.745,83,160,243,63,42,34,49,120,437
9,Tyler Hansbrough,28,64,4,978,93,196,.474,0,2,.000,93,194,.479,.474,126,185,.681,120,167,287,17,28,19,47,132,312
10,Rudy Gay,27,18,18,639,130,335,.388,22,59,.373,108,276,.391,.421,68,88,.773,29,104,133,40,28,23,59,47,350
11,Chuck Hayes,30,45,0,575,42,98,.429,0,1,.000,42,97,.433,.429,15,18,.833,49,114,163,29,23,10,26,77,99
12,Steve Novak,30,54,1,540,60,146,.411,52,122,.426,8,24,.333,.589,6,6,1.000,8,50,58,13,12,4,5,44,178
13,Landry Fields,25,30,2,322,27,67,.403,0,5,.000,27,62,.435,.403,14,22,.636,15,44,59,20,10,3,11,25,68
14,Nando De Colo,26,21,0,193,22,60,.367,8,22,.364,14,38,.368,.433,13,13,1.000,8,20,28,33,7,3,14,23,65
15,Dwight Buycks,24,14,0,146,15,48,.313,5,17,.294,10,31,.323,.365,8,9,.889,4,19,23,10,8,0,10,11,43
16,Julyan Stone,25,21,0,120,7,17,.412,2,8,.250,5,9,.556,.471,2,3,.667,2,18,20,12,3,0,5,13,18
17,D.J. Augustin,26,10,0,82,7,24,.292,1,11,.091,6,13,.462,.313,6,6,1.000,0,4,4,10,1,0,9,7,21
18,Quincy Acy,23,7,0,61,6,14,.429,2,5,.400,4,9,.444,.500,5,8,.625,5,10,15,4,4,3,2,8,19
19,Austin Daye,25,8,0,33,3,13,.231,0,8,.000,3,5,.600,.231,2,3,.667,2,5,7,2,0,0,0,4,8
20,Aaron Gray,29,4,0,20,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,3,5,8,3,0,0,4,7,5
,Team Totals,,82,,19955,2992,6718,.445,713,1917,.372,2279,4801,.475,.498,1608,2055,.782,935,2552,3487,1737,577,343,1159,1882,8305
